"Downloaded on",12/06/2024,"15:56:47 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22search%22%3A%22%5C%22medicare+savings+program%5C%22%22%2C%22chamber%22%3A%22House%22%7D

"Legislation Number",URL,Congress,Title,"Party of Sponsor","Date of Introduction","Latest Summary"
"H.R. 4410",https://www.congress.gov/bill/118th-congress/house-bill/4410,"118th Congress (2023-2024)","Fairness in Medicare Savings Program Act of 2023",Republican,06/30/2023,"<p><strong>Fairness in Medicare Savings Program Act of 2023</strong></p><p>This bill requires Medicaid programs in U.S. territories to offer Medicare cost-sharing assistance for qualifying beneficiaries. Amounts expended for this purpose are excluded from Medicaid funding caps.<br/></p>"
"H.R. 8503",https://www.congress.gov/bill/118th-congress/house-bill/8503,"118th Congress (2023-2024)","DUALS Act of 2024",Republican,05/22/2024,
"H.R. 9161",https://www.congress.gov/bill/118th-congress/house-bill/9161,"118th Congress (2023-2024)","Health Equity and Accountability Act of 2024",Democratic,07/25/2024,
"H.R. 7997",https://www.congress.gov/bill/117th-congress/house-bill/7997,"117th Congress (2021-2022)","Achieving Equity in the Treatment of Dual Eligible Beneficiaries Act",Republican,06/09/2022," <p><b>Achieving Equity in the Treatment of Dual Eligible Beneficiaries Act</b></p> <p>This bill temporarily establishes geographic adjustments for certain Medicare Advantage payment formulations, and specifies that a certain percentage of corresponding payment increases must be directed toward payments for basic benefits. It also requires U.S. territories to establish Medicare Savings Programs (currently optional in the territories).</p>"
"H.R. 5099",https://www.congress.gov/bill/117th-congress/house-bill/5099,"117th Congress (2021-2022)","Lowering Medicare Premiums and Prescription Drug Costs Act",Democratic,08/24/2021," <p><b>Lowering Medicare Premiums and Prescription Drug Costs Act</b></p> <p>This bill transfers certain programs that provide Medicare premium and cost-sharing assistance for low-income individuals from Medicaid to Medicare.</p> <p>Specifically, the bill establishes a program under Medicare to assist low-income Medicare beneficiaries with premiums, coinsurance, deductibles, and other costs. Currently, such assistance is provided through Medicare Savings Programs, which are administered by state Medicaid programs.</p> <p> The bill also establishes a related special enrollment period under Medicare, expands eligibility for assistance to beneficiaries with income up to 200% of the federal poverty line, and provides for joint eligibility determinations with respect to the bill's program and the low-income subsidy program under the Medicare prescription drug benefit.</p>"
"H.R. 5165",https://www.congress.gov/bill/117th-congress/house-bill/5165,"117th Congress (2021-2022)","Improving Medicare Coverage Act",Democratic,09/03/2021," <p><b>Improving Medicare Coverage Act</b></p> <p>This bill temporarily expands eligibility for Medicare. It also temporarily establishes a premium and cost-sharing assistance program for low-income beneficiaries.</p> <p>Specifically, the bill lowers the age of eligibility for Medicare from 65 to 60. The Centers for Medicare &amp; Medicaid Services must establish procedures to provide for automatic enrollment of qualifying individuals. Enrollment must be completed within 11 months of the bill's enactment.</p> <p> The bill also establishes a program under Medicare to assist low-income Medicare beneficiaries with premiums, coinsurance, deductibles, and other costs. Currently, such assistance is provided through Medicare Savings Programs, which are administered by state Medicaid programs. The bill also establishes a related special enrollment period under Medicare, expands eligibility for assistance to beneficiaries with income up to 200% of the federal poverty line, and provides for joint eligibility determinations with respect to the bill's program and the low-income subsidy program under the Medicare prescription drug benefit.</p> <p>The bill's provisions generally take effect six months after the bill's enactment and terminate five years later.</p>"
"H.R. 5040",https://www.congress.gov/bill/117th-congress/house-bill/5040,"117th Congress (2021-2022)","Helping Seniors Afford Health Care Act",Democratic,08/17/2021," <p><b>Helping Seniors Afford Health Care Act</b></p> <p>This bill alters eligibility standards and related processes for several programs that provide premium and cost-sharing assistance to low-income Medicare beneficiaries. </p> <p>Among other things, the bill expands income eligibility for the Qualified Medicare Beneficiary Program and the Specified Low-Income Medicare Beneficiary Program to up to 135% and 200% of the federal poverty level (FPL), respectively, and provides an enhanced Federal Medical Assistance Percentage (i.e., federal matching rate) to state Medicaid programs for expenditures related to the expansion. The bill also repeals the Qualifying Individual Program (which currently provides premium assistance to beneficiaries with incomes between 120% and 135% of the FPL).</p>"
"H.R. 7585",https://www.congress.gov/bill/117th-congress/house-bill/7585,"117th Congress (2021-2022)","Health Equity and Accountability Act of 2022",Democratic,04/26/2022," <p><b>Health Equity and Accountability Act of 2022</b></p> <p>This bill directs the Department of Health and Human Services (HHS) and others to undertake efforts to reduce health disparities.</p> <p>For example, the bill (1) requires more detailed reporting of demographic and health disparities data, including related to public health emergencies; (2) directs certain components of HHS to support health workforce diversity; and (3) increases access to culturally and linguistically appropriate health care.</p> <p>The bill also modifies eligibility and other requirements for Medicare, Medicaid, private health insurance, nutrition assistance, and other programs to reduce health disparities among vulnerable populations. The bill includes specific provisions with respect to </p> <ul> <li>noncitizens;</li> <li>maternal, infant, and child health;</li> <li>mental and behavioral health; </li> <li>specified conditions that disproportionately affect racial and ethnic minority groups, such as certain cancers, HIV/AIDS, kidney disease, and diabetes;</li> <li>investments in communities facing health and other inequities; and</li> <li>nondiscrimination in the provision of services in federally supported health programs.</li> </ul> <p>Additionally, the bill (1) revises health information technology programs to address health disparities, and (2) supports health impact assessments and other efforts pertaining to environmental justice and social determinants of health (i.e., nonmedical factors that influence health outcomes, such as income and educational attainment).</p> <p>The bill also requires various studies and reports on issues related to health care and health disparities, including a report by the Government Accountability Office on health workforce diversity.</p>"
"H.R. 4671",https://www.congress.gov/bill/116th-congress/house-bill/4671,"116th Congress (2019-2020)","Helping Seniors Afford Health Care Act",Democratic,10/15/2019," <p><b>Helping Seniors Afford Health Care Act</b></p> <p>This bill alters eligibility standards and related processes for several programs that provide premium and cost-sharing assistance to low-income Medicare beneficiaries. </p> <p>Among other things, the bill expands income eligibility for the Qualified Medicare Beneficiary Program and the Specified Low-Income Medicare Beneficiary Program to up to 135% and 200% of the federal poverty level (FPL), respectively, and provides an enhanced Federal Medical Assistance Percentage (i.e., federal matching rate) to state Medicaid programs for expenditures related to the expansion. The bill also repeals the Qualifying Individual Program (which currently provides premium assistance to beneficiaries with incomes between 120% and 135% of the FPL).</p>"
"H.R. 6305",https://www.congress.gov/bill/116th-congress/house-bill/6305,"116th Congress (2019-2020)","Coronavirus Relief for Seniors and People with Disabilities Act of 2020",Democratic,03/19/2020," <p><b>Coronavirus Relief for Seniors and People with Disabilities Act of 2020</b></p> <p>This bill provides funding and establishes additional programs under Medicare and Medicaid to address the public health emergency declared on January 31, 2020, relating to COVID-19 (i.e., coronavirus disease 2019).</p> <p>Specifically, the bill provides FY2020 supplemental appropriations to the Centers for Medicare &amp; Medicaid Services for specified quality improvement and laboratory certification activities. The funds are designated as an emergency requirement, which exempts the funds from discretionary spending limits and other budget enforcement rules.</p> <p>In addition, the bill (1) temporarily requires state Medicaid programs to provide Medicare cost-sharing assistance to certain individuals who qualify for, or are enrolled in, the low-income subsidy program under the Medicare prescription drug benefit; and (2) authorizes a grant program to support Medicaid home- and community-based services during the public health emergency.</p>"
